"pathway","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","leading_edge_size","core_enrichment","direction"
"E2f Targets","HALLMARK_E2F_TARGETS","Genes encoding cell cycle related targets of E2F transcription factors.",173,0.736238246687737,2.94636866166863,1e-10,1e-09,3.15789473684211e-10,2064,"tags=68%, list=18%, signal=57%",118,"CKS2/TOP2A/KPNA2/BUB1B/GINS1/UBE2S/HMGB2/PCNA/CDC20/KIF4A/HMGB3/CDC25B/MAD2L1/CKS1B/TRIP13/RRM2/MCM3/CDK1/CCNE1/MCM2/NME1/RACGAP1/SNRPB/MCM7/MELK/CCNB2/EZH2/LMNB1/RFC3/LBR/DLGAP5/ANP32E/DNMT1/PTTG1/CSE1L/TUBB/MCM6/MSH2/BARD1/SMC4/CTPS1/CDKN3/TFRC/XPO1/DDX39A/TACC3/NUP107/EXOSC8/DEK/AURKB/MCM5/NBN/NUP153/RAN/HELLS/RAD21/KIF2C/PAICS/RPA3/NAP1L1/MCM4/NCAPD2/PRKDC/ATAD2/DCK/POLD3/CENPM/STMN1/ILF3/DONSON/AURKA/ESPL1/CENPE/KIF18B/LIG1/USP1/CDK4/POP7/EED/MTHFD2/SLBP/MKI67/HMMR/HMGA1/TUBG1/ORC6/PRPS1/SMC6/IPO7/NASP/CDCA8/UNG/PA2G4/SYNCRIP/DUT/SSRP1/DCTPP1/SMC3/BIRC5/RPA1/NOLC1/ASF1B/ORC2/GINS4/SRSF1/PPP1R8/TK1/SMC1A/SPAG5/TMPO/NUP205/CDKN2A/TP53/TRA2B/CDCA3/RBBP7/CTCF/CDKN1B","Activated in disease"
"Epithelial Mesenchymal Transition","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",177,0.718103889875293,2.88190478672036,1e-10,1e-09,3.15789473684211e-10,1116,"tags=52%, list=10%, signal=48%",92,"SPP1/COL1A2/THBS2/TIMP1/COL5A2/MEST/COL3A1/COL6A3/SFRP4/SPARC/FAP/VCAN/COL4A1/BGN/THY1/COL1A1/CDH11/GREM1/SERPINE2/COL5A1/FN1/PMEPA1/SERPINH1/LUM/COL4A2/TGFBI/INHBA/LGALS1/GJA1/IL32/NID2/VCAM1/FSTL1/CXCL8/FBN1/DPYSL3/IGFBP3/SPOCK1/MXRA5/SERPINE1/IGFBP4/LOXL1/GEM/MGP/MCM7/COL6A2/COMP/MMP2/MMP1/CXCL1/MYLK/CAPG/FLNA/MYL9/COL16A1/PLOD3/TPM4/PDGFRB/PCOLCE/THBS1/PRRX1/ITGA5/CALD1/CD44/DKK1/PFN2/ECM1/VIM/ELN/WNT5A/HTRA1/PPIB/TNFAIP3/PLOD1/TPM2/TAGLN/LAMC1/GLIPR1/SNAI2/LOX/COLGALT1/VEGFC/ITGAV/CALU/EFEMP2/ENO2/MMP3/ANPEP/TNC/PLOD2/PLAUR/TNFRSF12A","Activated in disease"
"Myc Targets V1","HALLMARK_MYC_TARGETS_V1","A subgroup of genes regulated by MYC - version 1 (v1).",183,0.686946998588623,2.77344553513738,1e-10,1e-09,3.15789473684211e-10,1666,"tags=56%, list=15%, signal=49%",103,"KPNA2/PCNA/CDC20/MAD2L1/SNRPG/MCM2/NME1/CBX3/MCM7/SNRPD1/SSB/LDHA/TFDP1/MCM6/HSPE1/CTPS1/PSMB3/XPO1/PSMD3/FBL/PSMC4/ILF2/DEK/PSMA7/C1QBP/CCT2/XPOT/EIF3B/HDGF/MCM5/LSM7/RFC4/HSPD1/RAN/CCNA2/PSMD14/BUB3/PSMA4/TRIM28/UBA2/CCT5/ODC1/NAP1L1/PPIA/DDX21/HNRNPA2B1/MCM4/SNRPD2/CAD/ABCE1/SNRPD3/HSP90AB1/TYMS/NCBP2/LSM2/PSMC6/UBE2E1/PSMD1/SNRPB2/PGK1/VBP1/RUVBL2/RRM1/SRM/USP1/CDK4/HNRNPR/SET/GLO1/MRPL9/SNRPA/ERH/G3BP1/HPRT1/DDX18/IMPDH2/SRPK1/COPS5/RPS3/POLE3/PA2G4/RNPS1/SYNCRIP/PABPC1/TARDBP/PSMA1/DUT/PTGES3/HNRNPC/RRP9/CCT7/NPM1/NOLC1/KPNB1/AIMP2/DHX15/NHP2/ORC2/MRPL23/RAD23B/SRSF3/SRSF1/CSTF2","Activated in disease"
"G2m Checkpoint","HALLMARK_G2M_CHECKPOINT","Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.",174,0.64923000542996,2.63852457728204,1e-10,1e-09,3.15789473684211e-10,2440,"tags=60%, list=22%, signal=48%",104,"CKS2/TOP2A/PRC1/HOXC10/KPNA2/UBE2S/UBE2C/CDC20/KIF4A/HMGB3/CDC25B/MAD2L1/CKS1B/MCM3/CDK1/TTK/MCM2/RACGAP1/TPX2/CCNB2/STIL/EZH2/SNRPD1/LMNB1/LBR/NUSAP1/PTTG1/NEK2/TFDP1/MCM6/CDC6/BARD1/PBK/SMC4/CBX1/CDKN3/XPO1/E2F3/HIF1A/CDC7/DDX39A/TACC3/AURKB/MCM5/KIF15/CCNA2/RAD21/KIF11/KIF2C/BUB3/ODC1/GINS2/DBF4/STMN1/CENPF/ILF3/SQLE/AURKA/ESPL1/CENPE/SMC2/CDK4/MKI67/HMMR/HMGA1/G3BP1/ORC6/NASP/SYNCRIP/TROAP/BIRC5/NUP98/KIF5B/NOLC1/PRMT5/KPNB1/SRSF10/SLC38A1/RAD23B/SRSF1/CUL4A/SMC1A/TGFB1/TMPO/SFPQ/NCL/TRA2B/MTF2/TOP1/CASP8AP2/CTCF/MEIS1/CDKN1B/DR1/MEIS2/CCND1/KATNA1/DTYMK/CDC45/KIF22/GSPT1/HNRNPU/MYBL2/SUV39H1","Activated in disease"
"Kras Signaling Dn","HALLMARK_KRAS_SIGNALING_DN","Genes down-regulated by KRAS activation.",160,-0.600245284668002,-2.49071369101547,1e-10,1e-09,3.15789473684211e-10,1733,"tags=33%, list=15%, signal=28%",53,"GPR3/CD80/PAX3/IDUA/NTF3/P2RY4/TEX15/NOS1/PDK2/TGM1/SLC25A23/FGF22/CACNA1F/PKP1/GP1BA/RGS11/YPEL1/FGF16/SLC5A5/TG/PCDHB1/BMPR1B/CLPS/SOX10/ABCG4/SSTR4/KLHDC8A/PROP1/SLC38A3/FSHB/DCC/SIDT1/CYP11B2/NR4A2/ARHGDIG/CPB1/TFCP2L1/BTG2/GAMT/SLC16A7/SGK1/C5/ZBTB16/CKM/COL2A1/GPRC5C/IGFBP2/CAPN9/CPA2/TFF2/KCNE2/AKR1B10/ATP4A","Suppressed in disease"
"Mitotic Spindle","HALLMARK_MITOTIC_SPINDLE","Genes important for mitotic spindle assembly.",166,0.537980114325423,2.15151217435907,7.81346529072923e-10,6.51122107560769e-09,2.05617507650769e-09,2716,"tags=46%, list=24%, signal=36%",77,"ECT2/TOP2A/PRC1/KIF4A/CDK1/TTK/RACGAP1/TPX2/CCNB2/LMNB1/DLGAP5/NUSAP1/FSCN1/FLNA/NEK2/TUBA4A/DOCK4/SMC4/SAC3D1/KIF15/KIF11/KIF2C/MAPRE1/NCK1/EPB41L2/ACTN4/ABI1/PALLD/CENPF/MYH10/AURKA/ESPL1/CENPE/STK38L/PKD2/KNTC1/FGD6/MYO1E/MID1/SMC3/BIRC5/KLC1/MYH9/KIF5B/UXT/VCL/MAP1S/NEDD9/CAPZB/CLIP2/TRIO/CKAP5/SMC1A/RANBP9/RALBP1/ARHGDIA/RABGAP1/KIFAP3/STAU1/ABR/KIF3B/TUBGCP3/ARAP3/YWHAE/WASF2/KATNA1/SPTAN1/KIF22/ROCK1/KIF20B/NOTCH2/RAPGEF5/CEP131/LRPPRC/ARHGAP5/PLK1/ARF6","Activated in disease"
"Interferon Gamma Response","HALLMARK_INTERFERON_GAMMA_RESPONSE","Genes up-regulated in response to IFNG [GeneID=3458].",166,0.536918594456815,2.14726690049147,1.00458533365886e-09,7.17560952613475e-09,2.2659819556215e-09,2957,"tags=55%, list=26%, signal=41%",91,"ISG15/LY6E/VCAM1/SERPING1/CXCL9/PLSCR1/C1R/CXCL10/IFITM3/PFKP/IFITM2/TNFAIP6/IFI44L/C1S/GCH1/UPP1/NMI/TAP1/PSMB9/LAP3/HIF1A/BST2/IRF7/OAS3/PELI1/CD74/IFIT1/SRI/ADAR/IFI35/STAT1/MX1/TNFAIP3/FGL2/PARP12/PSMB8/HLA-B/PSMA3/PTGS2/UBE2L6/RSAD2/HLA-DQA1/IL10RA/MTHFD2/LCP2/IL4R/PSMB10/XAF1/MVP/STAT3/SSPN/PTPN6/RBCK1/NAMPT/TOR1B/FAS/IFI44/CCL2/CASP1/IFIT3/CD38/PSME1/ARID5B/EIF2AK2/TNFSF10/PDE4B/IDO1/ICAM1/SAMHD1/CD86/IRF9/HLA-DMA/CASP8/IRF8/CASP4/CASP3/HLA-A/IL15RA/MX2/PSMB2/TRIM14/TNFAIP2/MYD88/NUP93/PTPN2/SP110/CSF2RB/RIPK2/CMTR1/TAPBP/HLA-G","Activated in disease"
"Interferon Alpha Response","HALLMARK_INTERFERON_ALPHA_RESPONSE","Genes up-regulated in response to alpha interferon proteins.",75,0.634004394228436,2.28878161537534,9.21914368220483e-09,5.76196480137802e-08,1.81956783201411e-08,1100,"tags=40%, list=10%, signal=36%",30,"ISG15/LY6E/IFITM1/PLSCR1/CXCL10/IFITM3/IFITM2/IFI44L/C1S/NMI/TAP1/PSMB9/LAP3/BST2/IRF7/CD74/ADAR/LAMP3/GBP2/IFI35/PROCR/MX1/PARP12/PSMB8/PSMA3/UBE2L6/RSAD2/CNP/LPAR6/IL4R","Activated in disease"
"Allograft Rejection","HALLMARK_ALLOGRAFT_REJECTION","Genes up-regulated during transplant rejection.",174,0.506973591742199,2.06038271592032,2.48619244262926e-08,1.38121802368292e-07,4.36174112741976e-08,1799,"tags=32%, list=16%, signal=27%",56,"TIMP1/THY1/INHBA/CXCL9/ITGB2/MMP9/NME1/CAPG/FLNA/LY75/TAP1/HIF1A/LIF/IRF7/LYN/RPS19/CD74/GBP2/IFNGR1/NCK1/STAT1/IL2RG/CTSS/HLA-DRA/C2/SRGN/CXCL13/ABCE1/ABI1/CCR1/TLR2/MRPL3/HLA-DQA1/EIF4G3/LCP2/SOCS5/IL4R/PSMB10/HCLS1/PTPRC/STAB1/IFNGR2/GALNT1/PTPN6/CSK/NPM1/FAS/HLA-DMB/CCL19/CCND2/LTB/CCL4/CCL2/HLA-E/UBE2N/TGFB1","Activated in disease"
"Inflammatory Response","HALLMARK_INFLAMMATORY_RESPONSE","Genes defining inflammatory response.",178,0.480733231755029,1.94039968535738,3.90936272629409e-07,1.95468136314705e-06,6.17267798888541e-07,2294,"tags=38%, list=20%, signal=30%",67,"TIMP1/INHBA/LY6E/CXCL8/CXCL9/CD14/SERPINE1/CD55/IFITM1/CXCL10/TNFAIP6/GCH1/NMI/TPBG/HIF1A/LIF/BST2/IRF7/LYN/C5AR1/ITGA5/OSMR/AHR/SRI/ADRM1/PTPRE/LAMP3/TNFRSF1B/SPHK1/RGS1/ABI1/CCL20/TLR2/GPC3/IL10RA/LCP2/PLAUR/KCNJ2/IL4R/C3AR1/STAB1/ATP2A2/ABCA1/IFNGR2/RGS16/RASGRP1/NAMPT/SELL/GNAI3/MSR1/CLEC5A/ATP2B1/CCL2/EMP3/CALCRL/GNA15/APLNR/EIF2AK2/ATP2C1/TNFSF10/ADORA2B/PDE4B/ICAM1/AXL/HRH1/PSEN1/CYBB","Activated in disease"
